央视频道,#genre#
CCTV3,http://124.231.213.67:9999/tsfile/live/0003_1.m3u8

卫视频道,#genre#
上海卫视,http://124.231.213.67:9999/tsfile/live/0107_1.m3u8
云南卫视,http://124.231.213.67:9999/tsfile/live/0119_1.m3u8
兵团卫视,http://124.231.213.67:9999/tsfile/live/0115_1.m3u8
内蒙古卫视,http://124.231.214.17:9999/tsfile/live/0109_1.m3u8
内蒙古卫视,http://124.231.213.67:9999/tsfile/live/0109_1.m3u8
动作电影,http://124.231.213.67:9999/tsfile/live/1109_1.m3u8
宁夏卫视,http://124.231.213.67:9999/tsfile/live/0112_1.m3u8
江西卫视,http://124.231.214.17:9999/tsfile/live/0138_1.m3u8
河北卫视,http://124.231.214.17:9999/tsfile/live/0117_1.m3u8
河南卫视,http://124.231.214.17:9999/tsfile/live/0139_1.m3u8
甘肃卫视,http://124.231.214.17:9999/tsfile/live/0141_1.m3u8
甘肃卫视,http://124.231.213.67:9999/tsfile/live/0141_1.m3u8
辽宁卫视,http://124.231.214.17:9999/tsfile/live/0121_1.m3u8
重温经典,http://124.231.213.67:9999/tsfile/live/1111_1.m3u8
陕西卫视,http://124.231.214.17:9999/tsfile/live/0136_1.m3u8
青海卫视,http://124.231.213.67:9999/tsfile/live/0140_1.m3u8

湖南频道,#genre#
湖南娱乐,http://124.231.214.17:9999/tsfile/live/1096_1.m3u8
湖南导视,http://124.231.214.17:9999/tsfile/live/1085_1.m3u8
湖南教育,http://124.231.213.67:9999/tsfile/live/1086_1.m3u8
湖南爱晚,http://124.231.213.67:9999/tsfile/live/1097_1.m3u8
湖南电视剧,http://124.231.213.67:9999/tsfile/live/1094_1.m3u8
湖南经视,http://124.231.214.17:9999/tsfile/live/1091_1.m3u8
金鹰纪实,http://124.231.213.67:9999/tsfile/live/1095_1.m3u8

其他频道,#genre#
中华特产,http://124.231.213.67:9999/tsfile/live/1112_1.m3u8
法治天地,http://124.231.214.17:9999/tsfile/live/1118_1.m3u8
更新时间,#genre#
2024-11-05 05:18:38,url
